지역,면적 당 경찰관서 수,순위
부산,9.461159308521269e-08,6.0
대구,7.017643329878235e-08,3.0
인천,7.055824484737675e-08,4.0
광주,7.980603096290848e-08,5.0
대전,5.743923140082715e-08,2.0
울산,2.7083674054325578e-08,1.0
