지역,"범죄율 (발생건수/인구, %)",순위
부산,3.386902973866026,6.0
대구,2.997727669987764,5.0
인천,2.9868200124361883,3.0
광주,2.9412321313913017,2.0
대전,2.991066281648073,4.0
울산,2.754969189750577,1.0
